Date,Open,High,Low,Close,Adj Close,Volume,Day
2018-02-14,76.629997,81.830002,76.599998,81.220001,81.220001,3189900,0
2018-02-15,81.260002,81.540001,78.43,80.919998,80.919998,2867800,1
2018-02-16,80.849998,82.639999,80.5,81.400002,81.400002,1545300,2
2018-02-20,80.870003,81.400002,80.169998,80.580002,80.580002,1365300,3
2018-02-21,80.580002,82.57,80.440002,81.160004,81.160004,1297300,4
2018-02-22,81.25,82.209999,80.709999,80.830002,80.830002,1689700,5
2018-02-23,81.300003,82,79.900002,81.860001,81.860001,1285600,6
2018-02-26,82.43,83,81.220001,82.330002,82.330002,827000,7
2018-02-27,82.650002,83.589996,80.389999,80.459999,80.459999,1409100,8
2018-02-28,81.010002,82.440002,80.949997,81.099998,81.099998,1944900,9
2018-03-01,81.010002,81.940002,79.809998,81.040001,81.040001,1376900,10
2018-03-02,79.779999,82.290001,79.360001,82.07,82.07,887500,11
2018-03-05,81.639999,82.239998,80.760002,81.129997,81.129997,1218400,12
2018-03-06,81.18,83.980003,80.870003,83.690002,83.690002,2864700,13
2018-03-07,82.910004,83.489998,80.639999,81.32,81.32,1724700,14
2018-03-08,81.75,81.989998,80.290001,80.75,80.75,1040200,15
2018-03-09,81.18,82.010002,80.089996,81,81,1589700,16
2018-03-12,81.169998,81.639999,79.610001,80.330002,80.330002,1528200,17
2018-03-13,80.970001,81.550003,79.790001,79.800003,79.800003,1632900,18
2018-03-14,79.949997,80.949997,78.660004,80.75,80.75,2110500,19
2018-03-15,80.730003,81.629997,79.400002,79.610001,79.610001,985300,20
2018-03-16,79.470001,81.459999,79.470001,80.760002,80.760002,1233400,21
2018-03-19,81.029999,81.029999,79.779999,80.279999,80.279999,1144100,22
2018-03-20,80.25,81.589996,80.019997,81.480003,81.480003,1137200,23
2018-03-21,81.480003,81.870003,80.309998,80.699997,80.699997,1685800,24
2018-03-22,80,81.290001,80,81.099998,81.099998,1706400,25
2018-03-23,81.099998,81.620003,79.260002,79.510002,79.510002,2183200,26
2018-03-26,80.190002,80.519997,78.32,80.339996,80.339996,2603700,27
2018-03-27,80.529999,80.709999,77.970001,78.709999,78.709999,4006500,28
2018-03-28,84.25,87.980003,83.059998,85.959999,85.959999,10706800,29
2018-03-29,86.790001,89.540001,86.32,89.120003,89.120003,4849400,30
