Timestamp,Score,Are you employed or unemployed?,What is your GPA? (Please check on Websmart for your actual GPA. JUST NUMBERS PLEASE)
3/23/2023 12:57:08,,Employed,3.33
3/23/2023 13:19:04,,Unemployed,3.65
4/2/2023 16:19:57,,Unemployed,4
4/2/2023 16:20:21,,Unemployed,3.7
4/2/2023 16:21:58,,Unemployed,4
4/2/2023 16:23:15,,Employed,4
4/2/2023 16:25:08,,Employed,3.33
4/2/2023 16:36:56,,Unemployed,3.8
4/2/2023 16:42:34,,Unemployed,3.5
4/2/2023 18:01:19,,Employed,3.2
4/2/2023 18:58:12,,Employed,3.95
4/2/2023 20:46:34,,Unemployed,3.2
4/2/2023 22:16:30,,Employed,3.8
4/3/2023 0:17:08,,Unemployed,4
4/3/2023 1:35:52,,Unemployed,4
4/3/2023 9:46:55,,Unemployed,3.7
4/3/2023 11:17:04,,Unemployed,3.26
4/3/2023 11:22:12,,Employed,3.3
4/3/2023 11:23:42,,Unemployed,3.9
4/3/2023 11:23:50,,Employed,3
4/3/2023 11:23:56,,Employed,3.26
4/3/2023 11:23:57,,Unemployed,3.8
4/3/2023 11:23:59,,Employed,4
4/3/2023 11:24:05,,Employed,3.2
4/3/2023 11:24:18,,Unemployed,2.5
4/3/2023 11:24:26,,Employed,3.9
4/3/2023 11:24:32,,Employed,4
4/3/2023 11:25:12,,Unemployed,3.85
4/3/2023 11:25:27,,Employed,2.7
4/3/2023 11:38:31,,Employed,3.7
4/3/2023 11:38:59,,Unemployed,3.8
4/3/2023 11:39:05,,Employed,3.8
4/3/2023 11:39:44,,Employed,3
4/3/2023 11:39:48,,Employed,4
4/3/2023 11:40:40,,Employed,3.9
4/3/2023 11:41:02,,Employed,4
4/3/2023 11:41:06,,Unemployed,4
4/3/2023 11:41:07,,Employed,4
4/3/2023 11:41:08,,Unemployed,4
4/3/2023 11:41:17,,Unemployed,4
4/3/2023 11:41:26,,Employed,3.4
4/3/2023 11:41:40,,Employed,2.7
4/3/2023 11:41:44,,Unemployed,2.7
4/3/2023 11:41:48,,Employed,2.76
4/3/2023 11:42:20,,Employed,3.6
4/3/2023 11:42:23,,Employed,3.7
4/3/2023 11:42:39,,Unemployed,3.8
4/3/2023 11:42:40,,Employed,4
4/3/2023 11:42:54,,Employed,3.7
4/3/2023 11:43:02,,Unemployed,3.21
4/3/2023 11:43:14,,Employed,2.5
4/3/2023 11:43:25,,Employed,3
4/3/2023 11:43:45,,Unemployed,3.81
4/3/2023 11:44:08,,Unemployed,4
4/3/2023 11:44:14,,Unemployed,4
4/3/2023 11:44:23,,Employed,3.6
4/3/2023 11:44:36,,Employed,3.75
4/3/2023 11:44:45,,Employed,1.2
4/3/2023 11:45:15,,Employed,2.9
4/3/2023 11:45:23,,Unemployed,2
4/3/2023 11:45:26,,Employed,3
4/3/2023 11:45:37,,Employed,3.8
4/3/2023 11:46:14,,Employed,3.8
4/3/2023 11:46:56,,Employed,4
4/3/2023 11:47:01,,Employed,3.68
4/3/2023 11:47:16,,Employed,3.89
4/3/2023 11:47:21,,Unemployed,2
4/3/2023 11:47:21,,Employed,2
4/3/2023 11:47:22,,Employed,3.1
4/3/2023 11:47:33,,Unemployed,2.28
4/3/2023 11:47:41,,Unemployed,3
4/3/2023 11:48:02,,Unemployed,4
4/3/2023 11:48:13,,Unemployed,2.31
4/3/2023 11:49:17,,Unemployed,3.65
4/3/2023 11:49:20,,Employed,3.6
4/3/2023 11:49:27,,Unemployed,4
4/3/2023 11:49:27,,Employed,4
4/3/2023 11:49:34,,Employed,3.5
4/3/2023 11:49:41,,Unemployed,3.1
4/3/2023 11:49:45,,Employed,2.7
4/3/2023 11:49:59,,Unemployed,1.2
4/3/2023 11:50:29,,Unemployed,3.7
4/3/2023 11:50:39,,Employed,3.2
4/3/2023 11:51:31,,Unemployed,2.88
4/3/2023 11:52:10,,Employed,3
4/3/2023 11:54:15,,Employed,4
4/3/2023 11:54:54,,Employed,2.7
4/3/2023 11:55:08,,Employed,3.4
4/3/2023 11:55:12,,Unemployed,3.8
4/3/2023 11:55:13,,Unemployed,3.5
4/3/2023 11:55:18,,Unemployed,4
4/3/2023 11:55:22,,Employed,4
4/3/2023 11:55:30,,Employed,3.5
4/3/2023 11:55:39,,Employed,3.52
4/3/2023 11:55:44,,Unemployed,2.3
4/3/2023 11:55:53,,Employed,3.45
4/3/2023 11:56:32,,Unemployed,3.62
4/3/2023 11:56:37,,Employed,2.52
4/3/2023 11:56:42,,Unemployed,3.8
4/3/2023 11:59:28,,Employed,4.3
